-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,37,37,38
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,31,30,37,37,37,37,37,37,37,37,37,37,37,37,38,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,31,18,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,12,14,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,17,13,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,12,14,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,5,13,13,13,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,15,37,37,37,37,37,37,37,22,17,-1,-1,-1,-1,-1,-1,-1,-1
-1,3,-1,0,1,2,-1,3,-1,-1,15,-1,-1,-1,3,-1,-1,-1,-1,3,-1,-1,28,5,17,4,5,13,13,13,13,13,4,5,13,13,13,13,13,13,13,4,5,13,13,4,5,13,13,13,4,5,-1,-1,-1,-1,-1,-1,-1,-1
-1,15,1,1,13,14,-1,15,-1,-1,15,-1,3,-1,15,-1,-1,-1,-1,15,-1,-1,28,13,13,16,17,13,13,4,5,13,16,17,13,-1,-1,-1,-1,13,0,1,2,13,13,16,17,13,4,5,13,13,-1,-1,-1,-1,-1,-1,-1,-1
-1,15,13,13,13,14,-1,15,-1,-1,15,-1,15,-1,15,-1,-1,-1,-1,15,-1,-1,28,13,13,5,0,1,1,1,1,1,1,1,30,31,1,1,1,1,12,4,23,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
